patch_id,label,center_lon,center_lat,county_geoid,positive_pixels,area_m2,mean_confidence,max_confidence,bbox_width_m,bbox_height_m,voltage,substation_type,substation_name,operator,osm_id,geom_source,source,split
patch_0334169_1121007,positive,-112.10145952958258,33.416842062207316,4013,634,228.2400000000173,0.5456065535545349,0.5791015625,19.80000000000075,18.000000000000682,,detected,,,-1,model,local_inference,prediction
patch_0334141_1121039,positive,-112.10412154424128,33.41456181456048,4013,1080,388.80000000002946,0.5484166741371155,0.6650390625,27.000000000001023,25.200000000000955,,detected,,,-1,model,local_inference,prediction
patch_0334143_1120775,positive,-112.0782250126383,33.413393446556356,4013,9826,3537.360000000268,0.6785451769828796,0.9111328125,66.60000000000252,100.80000000000382,,detected,,,-1,model,local_inference,prediction
patch_0334113_1121006,positive,-112.10197255181328,33.411734490374705,4013,5010,1803.6000000001366,0.6402736306190491,0.90478515625,52.800000000002,70.80000000000268,,detected,,,-1,model,local_inference,prediction
patch_0334115_1120775,positive,-112.0768343186709,33.412336757474456,4013,3232,1163.5200000000882,0.5965256094932556,0.7529296875,55.20000000000209,37.80000000000143,,detected,,,-1,model,local_inference,prediction
patch_0334085_1121105,positive,-112.11041539515031,33.408666663824114,4013,2235,804.6000000000611,0.669156551361084,0.8857421875,37.80000000000143,50.40000000000191,,detected,,,-1,model,local_inference,prediction
patch_0334085_1121072,positive,-112.10651183651565,33.40867448473944,4013,710,255.60000000001938,0.5561248064041138,0.6533203125,23.400000000000887,26.400000000001,,detected,,,-1,model,local_inference,prediction
patch_0334086_1121006,positive,-112.09908641967331,33.407490440643684,4013,1102,396.72000000003004,0.5629603862762451,0.6767578125,27.600000000001046,22.800000000000864,,detected,,,-1,model,local_inference,prediction
patch_0334058_1120972,positive,-112.096354040963,33.405961522714954,4013,968,348.4800000000264,0.6425650119781494,0.8837890625,24.600000000000932,26.400000000001,,detected,,,-1,model,local_inference,prediction
patch_0334030_1121005,positive,-112.10014435106237,33.40286507288656,4013,978,352.0800000000267,0.6568860411643982,0.80859375,24.00000000000091,24.00000000000091,,detected,,,-1,model,local_inference,prediction
patch_0333948_1120905,positive,-112.0901825515611,33.39562855377404,4013,1828,658.0800000000498,0.5493110418319702,0.6181640625,28.80000000000109,35.40000000000134,,detected,,,-1,model,local_inference,prediction
patch_0333917_1121235,positive,-112.12438599159697,33.3927420602995,4013,17327,6237.720000000472,0.9727885723114014,1.0,81.00000000000307,79.80000000000302,,detected,,,-1,model,local_inference,prediction
patch_0333922_1120673,positive,-112.06775279201194,33.392603743219226,4013,1494,537.8400000000407,0.5820217728614807,0.62890625,26.400000000001,24.600000000000932,,detected,,,-1,model,local_inference,prediction
patch_0333835_1121168,positive,-112.11707038451945,33.383411097760415,4013,4998,1799.2800000001364,0.7447400093078613,0.9052734375,54.000000000002046,44.40000000000168,,detected,,,-1,model,local_inference,prediction
